Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0578219058733361,-0.229051229490053,0.287494731522033,0,0,0,6.90496170242358,0.0618638617883216,-4.86025906903307E-07,0.000933964995421894,0.0558956711612322,-5.9876445340078E-07,0.0408835258693231,0,0,0,0,0,0,package://robot-description-baller/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-baller/meshes/base_link.STL,,torso-full-1/Torso connector-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
left_inner_rear_track_link,-0.348367785887154,-0.0274550398974908,-0.000219496335036373,0,0,0,4.17528833969494,0.0207171956616369,1.33117978017255E-07,-1.92512775105517E-12,0.0207154450724253,2.5482459976023E-11,0.0356331254802435,0,0,0,0,0,0,package://robot-description-baller/meshes/left_inner_rear_track_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-baller/meshes/left_inner_rear_track_link.STL,,mobile-base-1/left-inner-track-1/Motor-1,Origin_left_inner_track_joint4,,left_inner_rear_track_joint,revolute,0.40808,-0.068572,0.27695,1.5708,0.031025,0,base_link,0,0,0,0,0,0,0,,,,,,,,0
left_inner_track_base_link,0.208894785796513,-0.0146887943523822,-0.00134460830658914,0,0,0,2.20888146035223,0.0177115705958669,-0.000442907878950439,-1.97853121902233E-06,0.0230391356369313,-1.34748584330851E-05,0.0385405863901358,0,0,0,0,0,0,package://robot-description-baller/meshes/left_inner_track_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-baller/meshes/left_inner_track_base_link.STL,,mobile-base-1/left-inner-track-1/Base Part-1;mobile-base-1/left-inner-track-1/Belt1-1,Origin_left_inner_track_base_joint2,,left_inner_track_base_joint,fixed,-0.38203,0.0023495,0.0065379,0,0,0,left_inner_rear_track_link,0,0,0,,,,,,,,,,,,0
left_inner_front_track_link,0.000219496328952254,0.00135538170549637,-0.000450797126796576,0,0,0,4.17528833969495,0.0356331254802435,2.5466367458297E-11,-1.99314228100425E-10,0.020715446990881,-1.45172805605886E-07,0.0207171937431812,0,0,0,0,0,0,package://robot-description-baller/meshes/left_inner_front_track_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-baller/meshes/left_inner_front_track_link.STL,,mobile-base-1/left-inner-track-1/Motor-2,Origin_left_inner_front_track_joint2,,left_inner_front_track_joint,revolute,0.38203,-0.0023495,-0.0065379,3.1416,-1.5708,-3.1368,left_inner_track_base_link,0,0,0,0,0,0,0,,,,,,,,0
left_outer_track_front_link,0.000219496335155479,1.94725701902487E-05,0.000441797714475001,0,0,0,4.17528833969495,0.0356331254802435,-1.94735109800564E-10,3.64298498652816E-12,0.0207154470244562,1.45374653749959E-07,0.0207171937096059,0,0,0,0,0,0,package://robot-description-baller/meshes/left_outer_track_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-baller/meshes/left_outer_track_front_link.STL,,mobile-base-1/left-outer-track-1/Motor-2,Origin_left_outer_track_front_joint2,,left_outer_track_front_joint,revolute,-0.10172,0.0013359,0,3.1416,0,3.1416,left_inner_front_track_link,0,0,0,0,0,0,0,,,,,,,,0
left_out_track_base_link,0.208955891820383,-0.0154395863840132,-0.00134460830658937,0,0,0,2.20888146035223,0.0177155549696435,-0.000466238698999306,-1.91945864226303E-06,0.0230351512631547,-1.34833999457476E-05,0.0385405863901358,0,0,0,0,0,0,package://robot-description-baller/meshes/left_out_track_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-baller/meshes/left_out_track_base_link.STL,,mobile-base-1/left-outer-track-1/Base Part-1;mobile-base-1/left-outer-track-1/Belt1-1,Origin_left_out_track_base_joint2,,left_out_track_base_joint,fixed,-0.0065379,0.011325,-0.38187,1.5708,-1.5438,-1.5708,left_outer_track_front_link,0,0,0,,,,,,,,,,,,0
left_outer_track_rear_link,-0.103779813958259,-0.0338202975658785,0.34783114382747,0,0,0,4.50966940783013,0.0357811712676882,2.21243990172557E-10,-2.7473965138921E-09,0.0215005422044002,-1.18860702397074E-07,0.0215020841314735,0,0,0,0,0,0,package://robot-description-baller/meshes/left_outer_track_rear_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-baller/meshes/left_outer_track_rear_link.STL,,mobile-base-1/left-outer-track-1/Motor-1;mobile-base-1/left-outer-track-1/h54-200-s500-r1-2,Origin_left_outer_track_rear_joint2,,left_outer_track_rear_joint,revolute,0.38206,-0.0023492,0.095182,3.1277,-1.5708,0,left_out_track_base_link,0,0,0,0,0,0,0,,,,,,,,0
right_inner_track_link,0.000219496335037872,-0.028834803460506,0.000360925352606178,0,0,0,4.17528833969495,0.0356331254802435,-2.55545716835766E-11,-1.62224634006936E-13,0.020715435077784,-1.11351693239323E-08,0.0207172056562782,0,0,0,0,0,0,package://robot-description-baller/meshes/right_inner_track_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-baller/meshes/right_inner_track_link.STL,,mobile-base-1/right-inner-track-2/Motor-1,Origin_right_inner_track_joint5,,right_inner_track_joint,revolute,0.058294,-0.38953,0.28914,1.6088,0,-1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,0
right_inner_track_base_link,0.176421252755492,-0.0136968698089939,-0.00480669220342167,0,0,0,2.20888146035223,0.0177115705958669,-0.000442907878950379,-1.97853121899421E-06,0.0230391356369314,-1.34748584330889E-05,0.0385405863901358,0,0,0,0,0,0,package://robot-description-baller/meshes/right_inner_track_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-baller/meshes/right_inner_track_base_link.STL,,mobile-base-1/right-inner-track-2/Base Part-1;mobile-base-1/right-inner-track-2/Belt1-1,Origin_right_inner_track_base_joint2,,right_inner_track_base_joint,fixed,0.01,0,0,-1.5708,1.5171,-1.5708,right_inner_track_link,0,0,0,,,,,,,,,,,,0
right_inner_track_front_link,0.000219496335038094,3.99930089045597E-12,6.43929354282591E-15,0,0,0,4.17528833969495,0.0356331254802435,1.43629860785195E-10,5.95294617372261E-12,0.0207154383281579,7.66059342907276E-08,0.0207172024059043,0,0,0,0,0,0,package://robot-description-baller/meshes/right_inner_track_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-baller/meshes/right_inner_track_front_link.STL,,mobile-base-1/right-inner-track-2/Motor-2,Origin_right_inner_track_front_joint2,,right_inner_track_front_joint,revolute,0.35,0,-0.01,0.045111,1.5708,0,right_inner_track_base_link,0,0,0,0,0,0,0,,,,,,,,0
