Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0593277196241563,-0.229051233143237,0.316329557872373,0,0,0,6.90496213213785,0.0618749358211769,-5.3067058074027E-07,-0.000799972791594144,0.0558956803247678,-5.54041887306506E-07,0.0408724634072406,0,0,0,0,0,0,package://robot-description-steve/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-steve/meshes/base_link.STL,,torso-full-1/Torso connector-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
left_inner_rear_track_link,-0.349997450379706,0.00133593701273016,-0.000219496335036484,0,0,0,4.17528833969495,0.0207172056407418,-1.2308539523167E-08,1.79164400383787E-13,0.0207154350933204,2.55544567320371E-11,0.0356331254802435,0,0,0,0,0,0,package://robot-description-steve/meshes/left_inner_rear_track_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-steve/meshes/left_inner_rear_track_link.STL,,mobile-base-1/left-inner-track-1/Motor-1,Origin_left_inner_track_joint4,,left_inner_rear_track_joint,fixed,0.40808,-0.068572,0.27695,1.5708,0.031025,0,base_link,0,0,0,0,0,0,0,,,,,,,,0
left_inner_track_base_link,0.207914697106206,-0.000374618691389161,-0.00134460830658922,0,0,0,2.20888146035223,0.0176750004221534,1.80580947801762E-07,-3.0810884731037E-06,0.0230757058106448,-1.32662462436422E-05,0.0385405863901358,0,0,0,0,0,0,package://robot-description-steve/meshes/left_inner_track_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-steve/meshes/left_inner_track_base_link.STL,,mobile-base-1/left-inner-track-1/Base Part-1;mobile-base-1/left-inner-track-1/Belt1-1,Origin_left_inner_track_base_joint2,,left_inner_track_base_joint,fixed,-0.38203,0.0023495,0.0065379,0,0,0,left_inner_rear_track_link,0,0,0,,,,,,,,,,,,0
left_inner_front_track_link,0.000219496334918079,0.00133590913055326,-8.99941240734004E-06,0,0,0,4.17528833969494,0.0356331254802435,2.555507400009E-11,-2.01417804651797E-10,0.0207154350077636,1.02310762553862E-10,0.0207172057262986,0,0,0,0,0,0,package://robot-description-steve/meshes/left_inner_front_track_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-steve/meshes/left_inner_front_track_link.STL,,mobile-base-1/left-inner-track-1/Motor-2,Origin_left_inner_front_track_joint2,,left_inner_front_track_joint,revolute,0.38203,-0.0023495,-0.0065379,3.1416,-1.5708,-3.1368,left_inner_track_base_link,0,0,0,0,0,0,0,,,,,,,,0
left_outer_track_front_link,0.000219496335038351,-4.7526982349666E-12,8.49875725350557E-14,0,0,0,4.17528833969495,0.0356331254802435,-1.94648490867413E-10,5.74457472388291E-12,0.0207154350077636,1.02310760685608E-10,0.0207172057262986,0,0,0,0,0,0,package://robot-description-steve/meshes/left_outer_track_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-steve/meshes/left_outer_track_front_link.STL,,mobile-base-1/left-outer-track-1/Motor-2,Origin_left_outer_track_front_joint2,,left_outer_track_front_joint,revolute,-0.10172,0.0013359,0,3.1416,0,3.1416,left_inner_front_track_link,0,0,0,0,0,0,0,,,,,,,,0
left_out_track_base_link,0.556089729442852,0.00357285667202806,-0.00134460830658952,0,0,0,2.20888146035223,0.0176798530081793,-0.000161814314928809,2.68159951866128E-06,0.0230708532246189,1.33527307917796E-05,0.0385405863901358,0,0,0,0,0,0,package://robot-description-steve/meshes/left_out_track_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-steve/meshes/left_out_track_base_link.STL,,mobile-base-1/left-outer-track-1/Base Part-1;mobile-base-1/left-outer-track-1/Belt1-1,Origin_left_out_track_base_joint2,,left_out_track_base_joint,fixed,-0.0065379,0.011325,-0.38187,1.5708,-1.5438,-1.5708,left_outer_track_front_link,0,0,0,,,,,,,,,,,,0
left_outer_track_rear_link,-0.103779823588152,0.0167082536653019,-0.349616522491217,0,0,0,4.50966940783013,0.0357811712676883,-7.61535276005164E-11,2.36153042694423E-09,0.0215005337010882,-3.07257764548323E-08,0.0215020926347852,0,0,0,0,0,0,package://robot-description-steve/meshes/left_outer_track_rear_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-steve/meshes/left_outer_track_rear_link.STL,,mobile-base-1/left-outer-track-1/Motor-1;mobile-base-1/left-outer-track-1/h54-200-s500-r1-2,Origin_left_outer_track_rear_joint2,,left_outer_track_rear_joint,continuous,0.38206,-0.0023492,0.095182,3.1277,-1.5708,0,left_out_track_base_link,0,0,0,,,,,,,,,,,,0
right_inner_track_link,0.000219496335037928,1.50746082283604E-12,-1.14838694109665E-13,0,0,0,4.17528833969495,0.0356331254802435,-2.54811794433398E-11,1.94202072011575E-12,0.0207154452496313,1.34277993979232E-07,0.0207171954844308,0,0,0,0,0,0,package://robot-description-steve/meshes/right_inner_track_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-steve/meshes/right_inner_track_link.STL,,mobile-base-1/right-inner-track-2/Motor-1,Origin_right_inner_track_joint5,,right_inner_track_joint,fixed,0.058294,-0.38953,0.28914,1.6088,0,-1.5708,base_link,0,0,0,0,0,0,0,,,,,,,,0
right_inner_track_base_link,0.175882862618142,0.000638911171242929,-0.0048066922034215,0,0,0,2.20888146035223,0.0176750004221534,1.8058094783979E-07,-3.08108847313072E-06,0.0230757058106447,-1.32662462436358E-05,0.0385405863901357,0,0,0,0,0,0,package://robot-description-steve/meshes/right_inner_track_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-steve/meshes/right_inner_track_base_link.STL,,mobile-base-1/right-inner-track-2/Base Part-1;mobile-base-1/right-inner-track-2/Belt1-1,Origin_right_inner_track_base_joint2,,right_inner_track_base_joint,fixed,0.01,0,0,-1.5708,1.5171,-1.5708,right_inner_track_link,0,0,0,,,,,,,,,,,,0
right_inner_track_front_link,0.000219496335038039,3.99963395736336E-12,1.30506716544687E-13,0,0,0,4.17528833969495,0.0356331254802435,1.43625593681322E-10,3.84908041926739E-12,0.0207154377132131,-6.91612649754836E-08,0.0207172030208491,0,0,0,0,0,0,package://robot-description-steve/meshes/right_inner_track_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot-description-steve/meshes/right_inner_track_front_link.STL,,mobile-base-1/right-inner-track-2/Motor-2,Origin_right_inner_track_front_joint2,,right_inner_track_front_joint,revolute,0.35,0,-0.01,0.045111,1.5708,0,right_inner_track_base_link,0,0,0,0,0,0,0,,,,,,,,0
